,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0
172,173.0,1.0360934526438457,5.078892635036468,1200000.0,1.4080581950264793e-06,0.27946064084162003,3058.0245764255524,0.08400452791185437,2.431387237682354e-07,1002190.8,25.0
173,174.0,0.8389435498926677,4.703192960207154,1200000.0,1.3863996534902435e-06,0.3100746352222572,4562.3496504426,0.0802612838188328,2.369360801861929e-07,927832.8,25.0
174,175.0,0.9909748068435462,5.275013385137768,1200000.0,1.5001503226467754e-06,0.27992992298186437,2360.7950614467263,0.0920926667044411,2.3037495242556305e-07,967578.8,25.0
175,176.0,1.0447096293567575,4.89609246558333,1200000.0,1.7131097910820032e-06,0.27842634619138096,2339.2676799297333,0.0873175549096854,1.7934421131757011e-07,951823.2,25.0
176,177.0,1.0101077191201364,5.0425085124508655,1200000.0,1.6489314390188183e-06,0.2829747166563479,3353.744005329907,0.08162687073934022,2.2846863503708591e-07,912573.6,25.0
177,178.0,1.0040728734596593,4.795837602498111,1200000.0,1.6199065087522718e-06,0.3145535610288661,3478.8716022595763,0.0807688013992987,1.8529709973205618e-07,819998.4,25.0
178,179.0,1.0116969587774616,5.605515997852514,1200000.0,1.8030440889472448e-06,0.25579431218669413,2682.3452601656318,0.08173478838158932,2.2505505228064465e-07,983477.2,25.0
179,180.0,0.9044878323446177,4.967240311198168,1200000.0,1.7575955325889041e-06,0.2869359337285573,4263.045520432293,0.06403832213556682,2.1300857138009606e-07,859887.2,25.0
180,181.0,0.9945980159487545,5.56799635442669,1200000.0,1.8869473021739953e-06,0.2410105166720058,2481.631147570908,0.07514793277230553,2.3711963483607964e-07,999804.0,25.0
181,182.0,0.9311609833086267,5.675714520628716,1200000.0,1.921271010375339e-06,0.23675190656553724,2453.3162388578057,0.05908510159143543,2.416888543779446e-07,946546.4,25.0
182,183.0,0.8983646924411695,5.086202790131004,1200000.0,1.5825688155248732e-06,0.2895954500186164,2720.3816454410553,0.08230370905128603,1.9367482281784068e-07,914892.4,25.0
183,184.0,0.9056933901263332,5.2850701204789985,1200000.0,1.8198005198168953e-06,0.25596613375893895,4353.494705177844,0.05377776886096969,2.5942637520764766e-07,912573.6,25.0
184,185.0,1.0523929429616166,5.549906911987151,1200000.0,1.815306074223538e-06,0.2504044186413168,2013.3614054843783,0.07854179504590197,1.761123977552263e-07,1039121.6,25.0
185,186.0,1.0357568210542392,5.714359516527402,1200000.0,1.770200382512258e-06,0.24724072264244512,4152.60940759629,0.06289360243119113,2.6692441603414516e-07,996274.8,25.0
186,187.0,0.9617655103402416,5.067712998291533,1200000.0,1.784832674434173e-06,0.27789366231197477,3374.463914960623,0.06987621573798819,1.8765641405528287e-07,911934.4,25.0
187,188.0,0.8530763997859933,5.697479813406829,1200000.0,2.013454080635088e-06,0.23705907883486788,1889.0041913986206,0.0729015328294837,2.1316405676414482e-07,970536.8,25.0
188,189.0,0.8737092246182299,4.879943917754353,1200000.0,1.5239575820216102e-06,0.2763923689282066,2402.8121162578464,0.0858746276760276,2.3631582374264215e-07,964620.8,25.0
189,190.0,0.9429338718257366,5.009085917265303,1200000.0,1.5908212185094647e-06,0.2905986757797905,3661.0207071080804,0.07658084632221124,2.3295985396961565e-07,885625.2,25.0
190,191.0,0.9951975000820935,5.111257667757926,1200000.0,1.899921415957839e-06,0.26437588500630227,2051.767195522785,0.07246478431124248,1.8364477197438617e-07,888583.2,25.0
191,192.0,0.9611008766785103,4.593810765242566,1200000.0,1.466376495291143e-06,0.31797163711827636,3849.060030989349,0.08348518844649305,2.296938979688836e-07,835896.8,25.0
192,193.0,1.0445647561123876,5.153229035247577,1200000.0,1.4894074598948909e-06,0.28058648705469835,3162.2923382893205,0.08730572101844741,2.2781926619068487e-07,1002190.8,25.0
193,194.0,1.0366096512445824,5.506413154518675,1200000.0,1.7241174660549078e-06,0.23061662574328068,3861.2626678571105,0.05218019484815101,2.6974777265831507e-07,1060154.0,25.0
194,195.0,0.9563135972086716,5.254310830125036,1200000.0,1.5187620009373326e-06,0.2643852689260413,4457.993687286973,0.0715125394896945,2.707076671318667e-07,1031458.0,25.0
195,196.0,0.8321682839514096,5.363790887890957,1200000.0,1.658935661708814e-06,0.2711128873394628,3818.987290471792,0.06875877839694039,2.489583959494024e-07,925514.0,25.0
196,197.0,0.9845978052011108,5.046416396751326,1200000.0,1.6888067248938655e-06,0.2742376481720754,3478.842031814158,0.07474244578123768,2.3392992322929755e-07,925514.0,25.0
197,198.0,0.8955379450261693,5.162116241743561,1200000.0,1.525729676910016e-06,0.2874616183792682,3123.9000733867288,0.08667746098069223,2.257411814457727e-07,941269.6,25.0
198,199.0,0.9444812096890062,5.544449899487269,1200000.0,1.7243958318068656e-06,0.24354949532907,1693.3082831799984,0.08245189708663248,2.4465172982902596e-07,999804.0,25.0
199,200.0,0.997458958556691,4.919436587642203,1200000.0,1.4302134473927747e-06,0.2944065661474511,3701.1344841346145,0.08545887684800402,2.3228643423987296e-07,948865.2,25.0
200,201.0,0.7946993937580348,5.4512220957838124,1200000.0,1.8027645883976885e-06,0.25734645380128285,2907.1766718775034,0.06770518897548078,2.4818597161083405e-07,909615.6,25.0
201,202.0,0.9940793676831232,4.740866109250426,1200000.0,1.3899414601802783e-06,0.30671667852673323,3488.9204183369875,0.09120378679647034,2.1932415369982583e-07,946546.4,25.0
202,203.0,0.9569485162073019,5.326597253831892,1200000.0,1.6204333212842717e-06,0.2597198411108437,4096.408164307475,0.0636894639730633,2.439992188421871e-07,1002762.0,25.0
203,204.0,1.0282959608852584,4.833192912851899,1200000.0,8.06975966100605e-07,0.3700588862097831,7221.638411432505,0.09090153558670311,5.321033608815884e-07,856929.2,25.0
204,205.0,0.9969686179925583,4.85139835740695,1200000.0,1.4539517807153523e-06,0.3016543335615509,3456.6610534638166,0.08627969661437174,2.1923824012069814e-07,927832.8,25.0
