,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
142,143.0,2.1814238042980105,99.99997437163049,1200000.0,3.315882261667581e-05,8.380742229059509e-06,0.012,0.9999998341437344,517910.6666666667,25.0
143,144.0,2.13057067852541,99.99998982868323,1200000.0,5.075721491650665e-05,8.35594992757365e-06,0.012,0.9999999105449358,337982.6666666667,25.0
144,145.0,1.2204494473010061,4.051846214077166,1200000.0,2.8802845163678083e-06,2.6729078186957025e-06,0.012,0.17919871183682257,616873.3333333334,25.0
145,146.0,1.2098054653032881,3.212640851811848,1200000.0,2.1737171609096452e-06,4.6075994367406945e-06,0.012,0.19748232738963456,517910.6666666667,25.0
146,147.0,1.2623679588261196,3.1535528232234142,1200000.0,2.086745100721377e-06,4.280506919883145e-06,0.012,0.24967256006656813,477428.0,25.0
147,148.0,1.1903810877762526,3.506180786943709,1200000.0,2.1658592147290255e-06,3.7987117054984494e-06,0.012,0.19542032995222003,616873.3333333334,25.0
148,149.0,1.2421148668082787,2.4161974646194935,1200000.0,1.6787315470167567e-06,7.993308788148469e-06,0.012,0.2771341035511317,337982.6666666667,25.0
149,150.0,2.185559544870607,99.99999088608347,1200000.0,3.931621062254819e-05,8.244176726308505e-06,0.012,0.9999998581272908,436945.3333333333,25.0
150,151.0,1.1969369721842495,2.985110765589532,1200000.0,1.853068686753419e-06,4.264788075502458e-06,0.012,0.2233572604190487,477428.0,25.0
151,152.0,2.4199401407885097,99.99999332244485,1200000.0,2.5874531998918852e-05,8.829863993194622e-06,0.012,0.9420608728792927,715836.0,25.0
152,153.0,1.169390771555234,3.3269623188348163,1200000.0,2.739862663770776e-06,3.2046764715985574e-06,0.012,0.25853636522208284,378465.3333333333,25.0
153,154.0,2.0297453058510233,85.15510249363098,1200000.0,4.307497136560242e-05,7.24130078618025e-05,0.012,0.7893830774422276,436945.3333333333,25.0
154,155.0,2.1643644195043983,99.9999929235211,1200000.0,3.929072882541441e-05,8.313207217532988e-06,0.012,0.999999825787241,436945.3333333333,25.0
155,156.0,2.0625120311684104,99.99999769825857,1200000.0,3.942597408273794e-05,7.979518689447227e-06,0.012,0.9999999668428474,436945.3333333333,25.0
156,157.0,1.177581015605726,2.4607108116956056,1200000.0,1.468724827582754e-06,7.383320377388986e-06,0.012,0.23889019382463805,418948.0,25.0
157,158.0,2.1160277237347347,99.99999970885327,1200000.0,3.93716398446847e-05,8.168547478954797e-06,0.012,0.9999997705713781,436945.3333333333,25.0
158,159.0,1.2128010919033945,2.7941057699559906,1200000.0,1.8964527738064678e-06,4.3656693276257504e-06,0.012,0.26019622184354085,378465.3333333333,25.0
159,160.0,2.1766200718854396,99.99999456934589,1200000.0,5.066882515561829e-05,8.39755466520072e-06,0.012,0.99999989899925,337982.6666666667,25.0
160,161.0,1.9958144131641036,80.37885860121473,1200000.0,5.2503617096555464e-05,8.020446155324589e-05,0.012,0.8298887279249164,337982.6666666667,25.0
161,162.0,2.055321870167156,87.22022551221653,1200000.0,3.855222124409201e-05,6.546415234695739e-05,0.012,0.7814058050620454,517910.6666666667,25.0
162,163.0,2.3030252919127143,99.99999525488809,1200000.0,2.8464417702222122e-05,8.292767490134117e-06,0.012,0.9830394626857614,616873.3333333334,25.0
163,164.0,1.2724496614168754,2.9512526902739395,1200000.0,2.073323790159173e-06,4.9032113979369875e-06,0.012,0.21565618001090403,436945.3333333333,25.0
164,165.0,2.087506426423328,99.99999885996354,1200000.0,5.076240110415475e-05,8.262558775901048e-06,0.012,0.9999999925977501,337982.6666666667,25.0
165,166.0,1.924072217033973,83.13884434482392,1200000.0,4.5425296330449334e-05,7.724271366803427e-05,0.012,0.8075214181602693,418948.0,25.0
166,167.0,2.239610893483665,99.99999198733286,1200000.0,3.0057944079287237e-05,8.545815494022822e-06,0.012,0.9929739315993585,576390.6666666666,25.0
167,168.0,1.2026601683969682,3.0036645387602405,1200000.0,1.8831036956225863e-06,4.314360830815957e-06,0.012,0.23123141027202887,477428.0,25.0
168,169.0,1.9227290143568865,81.6063362893898,1200000.0,3.845703691570791e-05,7.878327310675114e-05,0.012,0.819962636552338,477428.0,25.0
169,170.0,1.2982565474808208,3.0631153662504005,1200000.0,1.990944230098406e-06,4.256900418453246e-06,0.012,0.21985610012814916,477428.0,25.0
170,171.0,2.0172018497746516,99.99999799998155,1200000.0,4.111362461901695e-05,8.114610475734882e-06,0.012,0.9999999224572803,418948.0,25.0
171,172.0,1.1989946768902395,2.5826233969513126,1200000.0,1.8000449941939003e-06,5.306838776408579e-06,0.012,0.26995860136008004,337982.6666666667,25.0
172,173.0,1.2055334113918639,3.731712549072263,1200000.0,3.3653304938491448e-06,2.0803024786759773e-06,0.012,0.26032304729543077,378465.3333333333,25.0
173,174.0,2.0822292821505357,99.99999993181538,1200000.0,5.065387068409219e-05,8.462702539475462e-06,0.012,0.9999998110193487,337982.6666666667,25.0
