,Resample,RMSLE,p,k_V,c_V,r,d_T,T_0,V_0
102,103.0,1.3554514372636381,2.558400269400437,1200000.0,2.06958507397318e-06,4.936402790395758e-06,0.012,436945.3333333333,25.0
103,104.0,1.3577903563612563,2.663125589922757,1200000.0,1.987534722121697e-06,4.2777865220042775e-06,0.012,477428.0,25.0
104,105.0,1.3797004519138873,2.640368938435074,1200000.0,2.2991026650842107e-06,5.083578000977638e-06,0.012,418948.0,25.0
105,106.0,1.3958057273903406,2.5203692096051284,1200000.0,2.0035201111354763e-06,5.030222313854267e-06,0.012,436945.3333333333,25.0
106,107.0,1.2694454597104678,2.801172254007554,1200000.0,2.106046021410454e-06,4.291127293589267e-06,0.012,517910.6666666667,25.0
107,108.0,1.2930642188077424,2.510834565214637,1200000.0,1.6208766127790987e-06,4.0061196823104305e-06,0.012,477428.0,25.0
108,109.0,1.258787772429716,2.836329129302676,1200000.0,2.148176873407346e-06,3.569374225626127e-06,0.012,477428.0,25.0
109,110.0,1.1930269603398647,2.9044253407819056,1200000.0,2.25866728678217e-06,4.26980406393762e-06,0.012,517910.6666666667,25.0
110,111.0,1.3025356442866,2.3884563511143355,1200000.0,1.943105881885133e-06,4.748573564972999e-06,0.012,378465.3333333333,25.0
111,112.0,1.2746988379202262,2.66764919904022,1200000.0,1.6988965730014655e-06,5.28396563719491e-06,0.012,616873.3333333334,25.0
