,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
107,108.0,2.155583811381671,99.9999989261312,1200000.0,4.906912582709886e-05,8.333337911056466e-11,0.011,0.1664944755431817,917850.4,25.0
108,109.0,1.0443654291095243,4.854881384761434,1200000.0,1.8044138830088503e-06,1.5575951989733652e-06,0.011,0.12557653455122664,885625.2,25.0
109,110.0,1.0019109813370672,4.616736075642436,1200000.0,1.705037132560825e-06,1.6309554805375682e-06,0.011,0.12439169818127721,832938.8,25.0
110,111.0,1.0665596692673902,6.024497588408437,1200000.0,2.4638582478842534e-06,1.045859901492562e-06,0.011,0.13439719023836783,959486.8,25.0
111,112.0,1.0280069115482617,5.375257673839172,1200000.0,2.0908364946233874e-06,1.3271433103540311e-06,0.011,0.12575213379001648,914892.4,25.0
112,113.0,0.9097093088529201,6.997462066013924,1200000.0,3.0708517604791606e-06,8.358630771764875e-07,0.011,0.13427631885713442,1015131.2,25.0
113,114.0,1.1240539926220938,5.149040031336625,1200000.0,1.913004403480246e-06,1.459652875429467e-06,0.011,0.12659670203950368,973494.8,25.0
114,115.0,1.082717797204972,4.894252388396154,1200000.0,1.8064630505711357e-06,1.5892465950862099e-06,0.011,0.12289066969268281,962444.8,25.0
115,116.0,1.0638213185436682,5.734040869205074,1200000.0,2.180527416590398e-06,1.1660992444629983e-06,0.011,0.13080934027606023,1007467.6,25.0
116,117.0,1.0348484752670604,4.793929458281319,1200000.0,1.8362740430409325e-06,1.544338067284254e-06,0.011,0.1250200636056028,835896.8,25.0
117,118.0,1.1218459059167636,4.925077624707008,1200000.0,1.8684255483668929e-06,1.4891613120315887e-06,0.011,0.13116664733825534,877961.6,25.0
118,119.0,1.0306497559092966,4.869823744563497,1200000.0,1.7131315675755754e-06,1.514187887768521e-06,0.011,0.12866347890173774,930790.8,25.0
119,120.0,1.1642560482198587,6.028127321770064,1200000.0,2.352374727359623e-06,1.162911307506684e-06,0.011,0.13011053367840497,1088850.0,25.0
120,121.0,1.0364062880678646,5.613112297533668,1200000.0,2.2296568238588133e-06,1.2491990260574901e-06,0.011,0.13040816237755526,970536.8,25.0
121,122.0,1.019791319212733,6.503084361005392,1200000.0,2.6232479696593376e-06,9.225793043663813e-07,0.011,0.1404398226707707,1088850.0,25.0
122,123.0,1.0759333063184437,5.469368550409413,1200000.0,2.194754493616726e-06,1.2824758257372226e-06,0.011,0.12697027252197712,896818.0,25.0
123,124.0,1.1160673004977544,5.789862211311842,1200000.0,2.371408225026721e-06,1.2236791853972458e-06,0.011,0.12738683444070542,1002190.8,25.0
124,125.0,1.047096383139899,5.679631690933022,1200000.0,2.373832067412325e-06,1.306870322297023e-06,0.011,0.12217905378540983,920808.4,25.0
125,126.0,1.077101872741921,5.38493714246512,1200000.0,2.126160312807835e-06,1.315426495098024e-06,0.011,0.1311127559424229,935924.8,25.0
126,127.0,1.0527915582416758,4.737173157155148,1200000.0,1.79068716301738e-06,1.5818595256097007e-06,0.011,0.129696417010011,859887.2,25.0
127,128.0,1.0182483829311393,6.007768133715437,1200000.0,2.6614491766174304e-06,1.0984507608332634e-06,0.011,0.1349256458998092,922556.0,25.0
